Date,Open,High,Low,Close,Adj Close,Volume
2000-12-29,111.0,152.0,110.0,140.0,105.87464904785156,16788
2001-01-02,141.5,142.0,108.0,114.0,86.21222686767578,13525
2001-01-03,110.0,144.0,104.0,116.0,87.72471618652344,26134
2001-01-04,125.5,134.0,112.0,116.0,87.72471618652344,9791
2001-01-05,120.0,130.0,114.0,128.0,96.79969024658203,5069
2001-01-08,128.0,130.0,120.0,126.0,95.2872085571289,5200
2001-01-09,128.0,128.0,114.0,119.0,89.99346923828125,2313
2001-01-10,121.0,124.0,114.0,122.0,92.26219177246094,5628
2001-01-11,122.0,130.0,115.0,124.0,93.77469635009766,7794
2001-01-12,125.5,148.0,125.5,148.0,111.92459869384766,17147
2001-01-16,152.0,168.0,144.0,160.0,120.99958801269531,6475
2001-01-17,168.0,192.0,166.0,180.0,136.12457275390625,6963
2001-01-18,189.5,196.0,184.0,186.0,140.66204833984375,6850
2001-01-19,188.0,194.0,184.0,188.0,142.174560546875,9156
2001-01-22,192.0,200.0,184.0,192.0,145.19956970214844,8409
2001-01-23,192.5,208.0,190.0,204.0,154.2744598388672,4269
2001-01-24,216.5,240.0,202.0,224.0,169.3994598388672,13166
2001-01-25,222.0,224.0,208.0,208.0,157.2995147705078,5769
2001-01-26,190.0,196.0,176.0,192.0,145.19956970214844,7822
2001-01-29,197.0,204.0,192.0,194.0,146.71205139160156,2884
2001-01-30,198.0,198.0,188.0,190.0,143.68702697753906,2569
2001-01-31,193.5,200.0,184.0,190.0,143.68702697753906,8288
2001-02-01,190.0,198.0,189.0,192.0,145.19956970214844,1569
2001-02-02,192.0,194.0,188.0,192.0,145.19956970214844,1241
2001-02-05,191.0,191.0,172.0,172.0,130.0745849609375,2234
2001-02-06,160.0,173.0,156.0,169.0,127.80583953857422,3241
2001-02-07,169.0,196.0,166.0,196.0,148.22450256347656,4134
2001-02-08,210.0,224.0,200.0,208.0,157.2995147705078,15356
2001-02-09,216.0,216.0,186.0,198.0,149.73704528808594,4300
2001-02-12,192.0,208.0,188.0,192.0,145.19956970214844,2325
2001-02-13,196.0,199.0,177.0,188.0,142.174560546875,5794
2001-02-14,187.5,189.0,168.0,174.0,131.5870819091797,1416
2001-02-15,176.0,188.0,164.0,164.0,124.02459716796875,3253
2001-02-16,167.0,168.0,128.0,143.0,108.1434097290039,39778
2001-02-20,144.0,158.0,138.0,140.0,105.87464904785156,3441
2001-02-21,136.0,138.0,126.0,128.0,96.79969024658203,7163
2001-02-22,130.0,133.0,120.0,126.0,95.2872085571289,4825
2001-02-23,126.5,129.0,120.0,126.0,95.2872085571289,15228
2001-02-26,127.0,129.0,120.0,122.0,92.26219177246094,9622
2001-02-27,121.5,123.0,116.0,121.0,91.50595092773438,11159
2001-02-28,120.5,123.0,116.0,120.0,90.74971771240234,3422
2001-03-01,119.0,120.0,99.0,101.0,76.3810043334961,15713
2001-03-02,103.0,105.0,88.0,91.0,68.81854248046875,10794
2001-03-05,95.5,97.0,88.0,93.0,70.33102416992188,12513
2001-03-06,96.5,136.0,92.0,96.0,72.59978485107422,25256
2001-03-07,101.0,101.0,92.0,96.0,72.59978485107422,7563
2001-03-08,97.5,98.0,88.0,94.0,71.0872802734375,5756
2001-03-09,96.0,98.0,88.0,89.0,67.3060302734375,5003
2001-03-12,90.0,90.0,70.5,76.0,57.47480392456055,18634
2001-03-13,66.0,74.0,64.0,72.0,54.4498291015625,14331
2001-03-14,68.5,71.0,64.0,65.0,49.15608215332031,10669
2001-03-15,68.0,72.0,62.0,62.0,46.88734817504883,14603
2001-03-16,64.0,66.0,50.0,56.0,42.3498649597168,11034
2001-03-19,59.0,67.0,59.0,62.0,46.88734817504883,16309
2001-03-20,65.5,66.0,63.0,65.0,49.15608215332031,19463
2001-03-21,65.0,66.0,62.0,64.0,48.399845123291016,12916
2001-03-22,65.0,66.0,64.0,65.0,49.15608215332031,5438
2001-03-23,64.0,66.0,62.0,65.0,49.15608215332031,10247
2001-03-26,64.5,65.0,62.0,64.0,48.399845123291016,2338
2001-03-27,64.0,65.0,52.0,52.0,39.32487869262695,6781
2001-03-28,48.0,56.5,44.0,50.0,37.8123779296875,15434
2001-03-29,53.0,56.0,44.0,45.0,34.03114318847656,20300
2001-03-30,48.0,48.0,34.0,40.0,30.249897003173828,31216
2001-04-02,44.0,46.0,32.0,36.0,27.22491455078125,17594
2001-04-03,38.0,40.0,32.0,35.0,26.46866226196289,26256
2001-04-04,38.0,40.0,32.0,33.0,24.95616340637207,13128
2001-04-05,36.0,36.0,31.0,33.0,24.95616340637207,25641
2001-04-06,33.0,33.0,16.0,19.0,14.368700981140137,91378
2001-04-09,26.559999465942383,29.440000534057617,23.040000915527344,29.440000534057617,22.263927459716797,36388
2001-04-10,33.279998779296875,41.599998474121094,33.279998779296875,35.52000045776367,26.86191177368164,51578
2001-04-11,39.68000030517578,44.15999984741211,36.79999923706055,43.20000076293945,32.66990661621094,80422
2001-04-12,44.79999923706055,45.7599983215332,40.0,41.599998474121094,31.45989418029785,24838
2001-04-16,44.79999923706055,46.400001525878906,43.20000076293945,44.15999984741211,33.395896911621094,26184
2001-04-17,41.599998474121094,42.880001068115234,40.31999969482422,42.2400016784668,31.94390296936035,11281
2001-04-18,43.52000045776367,48.0,43.20000076293945,46.720001220703125,35.33189010620117,28750
2001-04-19,51.52000045776367,59.20000076293945,51.20000076293945,52.15999984741211,39.44587326049805,41834
2001-04-20,55.040000915527344,55.36000061035156,46.400001525878906,48.0,36.29989242553711,21272
2001-04-23,48.0,48.959999084472656,38.08000183105469,39.36000061035156,29.765907287597656,13916
2001-04-24,39.36000061035156,41.599998474121094,38.400001525878906,41.279998779296875,31.2179012298584,9941
2001-04-25,40.959999084472656,43.52000045776367,40.0,40.63999938964844,30.73389434814453,15941
2001-04-26,41.279998779296875,41.599998474121094,40.0,40.0,30.249897003173828,5681
2001-04-27,41.599998474121094,44.47999954223633,39.68000030517578,41.599998474121094,31.45989418029785,16509
2001-04-30,43.52000045776367,44.15999984741211,40.63999938964844,42.2400016784668,31.94390296936035,15000
2001-05-01,43.20000076293945,44.15999984741211,40.959999084472656,42.2400016784668,31.94390296936035,15575
2001-05-02,43.52000045776367,61.119998931884766,42.2400016784668,55.36000061035156,41.86587142944336,25675
2001-05-03,56.959999084472656,57.279998779296875,48.0,54.400001525878906,41.13986587524414,12553
2001-05-04,54.400001525878906,54.400001525878906,48.63999938964844,51.84000015258789,39.20387268066406,14250
2001-05-07,52.47999954223633,52.79999923706055,47.68000030517578,50.560001373291016,38.235877990722656,14284
2001-05-08,50.560001373291016,54.400001525878906,50.560001373291016,51.84000015258789,39.20387268066406,5791
2001-05-09,52.15999984741211,52.15999984741211,48.0,48.959999084472656,37.025882720947266,4559
2001-05-10,49.91999816894531,50.880001068115234,47.36000061035156,48.0,36.29989242553711,6550
2001-05-11,49.91999816894531,49.91999816894531,38.400001525878906,44.47999954223633,33.63788986206055,20213
2001-05-14,45.439998626708984,45.439998626708984,32.0,37.119998931884766,28.071910858154297,21003
2001-05-15,37.7599983215332,41.599998474121094,37.7599983215332,40.63999938964844,30.73389434814453,12141
2001-05-16,39.36000061035156,43.20000076293945,39.040000915527344,41.599998474121094,31.45989418029785,4194
2001-05-17,41.91999816894531,43.84000015258789,38.400001525878906,40.0,30.249897003173828,6206
2001-05-18,40.0,40.959999084472656,37.119998931884766,38.400001525878906,29.039905548095703,18316
2001-05-21,38.720001220703125,45.7599983215332,38.400001525878906,44.47999954223633,33.63788986206055,6666
2001-05-22,44.79999923706055,47.68000030517578,42.2400016784668,46.08000183105469,34.84789276123047,3991
2001-05-23,47.040000915527344,47.040000915527344,43.20000076293945,45.7599983215332,34.60588836669922,5656
2001-05-24,45.439998626708984,54.400001525878906,44.79999923706055,49.279998779296875,37.26788330078125,9981
2001-05-25,51.20000076293945,52.47999954223633,46.400001525878906,48.0,36.29989242553711,3938
2001-05-29,49.599998474121094,50.2400016784668,46.08000183105469,46.720001220703125,35.33189010620117,4513
2001-05-30,47.36000061035156,47.68000030517578,40.31999969482422,41.599998474121094,31.45989418029785,8497
2001-05-31,42.2400016784668,44.15999984741211,40.0,41.599998474121094,31.45989418029785,6153
2001-06-01,44.15999984741211,44.15999984741211,39.68000030517578,43.20000076293945,32.66990661621094,7084
2001-06-04,47.040000915527344,48.0,41.91999816894531,47.68000030517578,36.057884216308594,8956
2001-06-05,48.0,49.91999816894531,46.400001525878906,48.63999938964844,36.78386688232422,4938
2001-06-06,49.279998779296875,49.599998474121094,46.08000183105469,46.08000183105469,34.84789276123047,1991
2001-06-07,45.119998931884766,47.040000915527344,41.91999816894531,43.52000045776367,32.911895751953125,4997
2001-06-08,45.439998626708984,45.7599983215332,41.279998779296875,43.20000076293945,32.66990661621094,6559
2001-06-11,43.52000045776367,43.84000015258789,40.959999084472656,43.20000076293945,32.66990661621094,2141
2001-06-12,41.599998474121094,43.20000076293945,40.959999084472656,41.91999816894531,31.701892852783203,1900
2001-06-13,43.20000076293945,44.79999923706055,42.560001373291016,42.560001373291016,32.18589401245117,1075
2001-06-14,41.599998474121094,43.52000045776367,36.15999984741211,38.08000183105469,28.79790687561035,8613
2001-06-15,39.040000915527344,39.040000915527344,33.599998474121094,36.79999923706055,27.829904556274414,19141
2001-06-18,43.84000015258789,46.08000183105469,37.7599983215332,39.040000915527344,29.523910522460938,14016
2001-06-19,40.959999084472656,40.959999084472656,38.400001525878906,39.36000061035156,29.765907287597656,14544
2001-06-20,39.040000915527344,41.279998779296875,34.560001373291016,37.119998931884766,28.071910858154297,4806
2001-06-21,33.599998474121094,38.400001525878906,32.31999969482422,36.47999954223633,27.587915420532227,14244
2001-06-22,36.47999954223633,36.47999954223633,33.279998779296875,35.52000045776367,26.86191177368164,3297
2001-06-25,36.79999923706055,40.0,35.52000045776367,36.15999984741211,27.345918655395508,9291
2001-06-26,35.52000045776367,38.400001525878906,34.560001373291016,36.15999984741211,27.345918655395508,5109
2001-06-27,35.84000015258789,37.439998626708984,34.560001373291016,35.20000076293945,26.619905471801758,10225
2001-06-28,35.52000045776367,35.52000045776367,32.31999969482422,34.2400016784668,25.8939151763916,40294
2001-06-29,32.959999084472656,34.560001373291016,32.63999938964844,34.2400016784668,25.8939151763916,84416
2001-07-02,35.20000076293945,35.52000045776367,32.63999938964844,33.279998779296875,25.16791534423828,7656
2001-07-03,33.599998474121094,35.84000015258789,33.279998779296875,35.84000015258789,27.103904724121094,1372
2001-07-05,35.84000015258789,36.15999984741211,32.63999938964844,33.279998779296875,25.16791534423828,8238
2001-07-06,32.63999938964844,34.560001373291016,32.31999969482422,33.599998474121094,25.409927368164062,1838
2001-07-09,34.880001068115234,35.20000076293945,32.63999938964844,33.599998474121094,25.409927368164062,10666
2001-07-10,33.599998474121094,33.599998474121094,32.63999938964844,32.959999084472656,24.92591667175293,5016
2001-07-11,33.279998779296875,33.279998779296875,32.0,32.959999084472656,24.92591667175293,8281
